1.36678;1.02976;1.04391;1.41757;1.65238;1.18472;1.38824;0.65742;0.68022;1.04124;0.95373;1.24216;1.26618;1.19537;1.12631;1.39462;1.57059;1.2834;1.678;1.06901;0.9944;0.96835;0.96904;0.83665;1.13864;1.05942;1.05226;1.11209;1.05423;1.09546;1.72813;1.06359;0.91826;1.00067;0.7365
25.79576;20.59209;21.17322;29.37222;30.77513;23.43552;27.10764;14.48532;14.9369;21.43417;19.6966;21.27954;25.34054;24.00642;22.99485;29.05023;30.09488;27.20203;32.73408;22.51449;21.01899;20.94117;19.41255;17.46059;24.31285;22.01595;21.6661;24.0064;21.95527;23.2592;33.99649;22.21176;19.48284;20.77742;15.3184
7.59325;5.72089;5.79952;7.87546;9.17995;6.58185;7.71246;3.65232;3.77886;5.78457;5.29853;6.9009;7.03437;6.64089;6.25733;7.74803;8.72547;7.13003;9.32216;5.93905;5.52444;5.37979;5.38351;4.64802;6.32581;5.88573;5.84589;6.17835;5.85694;6.08596;9.60067;5.90879;5.10147;5.55929;4.09161
2.39317;1.37381;1.92572;1.45553;1.06679;0.96869;1.59562;0.85135;0.95806;1.1679;1.32911;1.09968;1.11693;1.39919;0.97061;1.33131;1.32982;0.94369;1.68589;0.87273;0.9537;1.0379;1.31127;0.97589;1.09885;0.93789;1.18424;1.32011;1.31899;1.22173;1.87949;1.08021;1.0308;1.12444;0.9298
34.40585;22.98458;29.1523;25.32481;18.81398;16.91181;25.1533;14.73506;16.63938;20.14448;21.44544;18.46028;19.88778;22.01836;16.89094;23.28471;21.72455;16.90736;26.94334;15.57316;16.60023;18.47143;20.36717;16.47483;19.69505;16.8052;18.85628;23.0742;23.24794;21.62723;30.14086;19.20717;18.16731;20.00951;16.47358
11.96586;6.86902;9.62858;7.27763;5.33391;4.84347;7.97812;4.2567;4.79025;5.8395;6.64558;5.49838;5.58464;6.99595;4.85304;6.65656;6.64909;4.71844;8.42949;4.36361;4.76849;5.18951;6.55635;4.87942;5.49426;4.68949;5.92117;6.60059;6.59493;6.10859;9.39744;5.40103;5.15401;5.62216;4.64899
0.21656;0.30601;0.29461;0.34053;0.22458;0.07923;0.27111;0.46129;0.46646;0.57145;0.51365;0.44187;0.52203;0.47172;0.46305;0.66301;0.63826;0.66831;0.65558;0.51166;0.43078;0.5198;0.50291;0.43162;0.47707;0.42358;0.45558;0.60934;0.5924;0.6801;0.67935;0.49113;0.4368;0.55357;0.4913
4.67046;5.86704;5.62226;7.34043;4.85327;1.65709;4.85927;8.11294;8.24013;10.03392;8.87393;7.82529;9.2197;8.32862;8.17297;11.70779;11.2654;11.76264;11.48915;8.99399;7.58653;9.15137;8.8366;7.60414;8.41779;7.43585;8.03823;10.75716;10.46266;12.0034;11.95956;8.65485;7.68997;9.76248;8.62116
0.98439;1.39096;1.33914;1.54787;1.02082;0.36017;1.2323;2.09674;2.12036;2.59748;2.33474;2.00849;2.37298;2.1442;2.1048;3.01373;2.90122;3.03777;2.97989;2.32573;1.95806;2.36265;2.28592;1.96191;2.16856;1.92533;2.07074;2.76971;2.69269;3.09143;3.08783;2.23238;1.98539;2.51623;2.23324
3.46773;3.28015;3.27632;4.35931;3.75733;2.73149;3.50675;1.95492;1.8305;2.39087;2.24398;3.14062;3.09453;2.66181;2.88122;3.4721;3.61482;3.45018;5.13022;2.89455;2.72882;2.44856;2.44367;2.15623;2.95631;2.31173;2.61521;3.24307;3.06416;2.90848;4.55297;2.69255;2.19039;2.63498;2.04895
